Timestamp,altitude,course,horizontalAccuracy,latitude,longitude,rawSpeed
2016-02-25 17:30:00 +0000,0,270,12,41.875792,-87.618944,8.9408
2016-02-25 17:30:01 +0000,0,270,12,41.875792,-87.618834,8.9408
2016-02-25 17:30:02 +0000,0,270,12,41.875792,-87.618724,8.9408
2016-02-25 17:30:03 +0000,0,270,12,41.875792,-87.618614,8.9408
2016-02-25 17:30:04 +0000,0,270,12,41.875792,-87.618504,8.9408
2016-02-25 17:30:05 +0000,0,270,12,41.875792,-87.618394,8.9408
2016-02-25 17:30:06 +0000,0,270,12,41.875792,-87.618284,8.9408
2016-02-25 17:30:07 +0000,0,270,12,41.875792,-87.618174,8.9408
2016-02-25 17:30:08 +0000,0,270,12,41.875792,-87.6180639999999,8.9408
2016-02-25 17:30:09 +0000,0,270,12,41.875792,-87.6179539999999,8.9408
2016-02-25 17:30:10 +0000,0,270,12,41.875792,-87.6178439999999,8.9408
2016-02-25 17:30:11 +0000,0,270,12,41.875792,-87.6177339999999,8.9408
2016-02-25 17:30:12 +0000,0,270,12,41.875792,-87.6176239999999,8.9408
2016-02-25 17:30:13 +0000,0,270,12,41.875792,-87.6175139999999,8.9408
2016-02-25 17:30:14 +0000,0,270,12,41.875792,-87.6174039999999,8.9408
2016-02-25 17:30:15 +0000,0,270,12,41.875792,-87.6172939999999,8.9408
2016-02-25 17:30:16 +0000,0,270,12,41.875792,-87.6171289999999,13.4112
2016-02-25 17:30:17 +0000,0,270,12,41.875792,-87.6169639999999,13.4112
2016-02-25 17:30:18 +0000,0,270,12,41.875792,-87.6167989999999,13.4112
2016-02-25 17:30:19 +0000,0,270,12,41.875792,-87.6166339999999,13.4112
2016-02-25 17:30:20 +0000,0,270,12,41.875792,-87.6164689999999,13.4112
2016-02-25 17:30:21 +0000,0,270,12,41.875792,-87.6163039999999,13.4112
2016-02-25 17:30:22 +0000,0,270,12,41.875792,-87.6161389999999,13.4112
2016-02-25 17:30:23 +0000,0,270,12,41.875792,-87.6159739999999,13.4112
2016-02-25 17:30:24 +0000,0,270,12,41.875792,-87.6158089999999,13.4112
2016-02-25 17:30:25 +0000,0,270,12,41.875792,-87.6156439999999,13.4112
2016-02-25 17:30:26 +0000,0,270,12,41.875792,-87.615479,13.4112
2016-02-25 17:30:27 +0000,0,270,12,41.875792,-87.615314,13.4112
2016-02-25 17:30:28 +0000,0,270,12,41.875792,-87.615149,13.4112
2016-02-25 17:30:29 +0000,0,270,12,41.875792,-87.614984,13.4112
2016-02-25 17:30:30 +0000,0,270,12,41.875792,-87.614819,13.4112
2016-02-25 17:30:31 +0000,0,270,12,41.875792,-87.614599,17.8816
2016-02-25 17:30:32 +0000,0,270,12,41.875792,-87.614379,17.8816
2016-02-25 17:30:33 +0000,0,270,12,41.875792,-87.614159,17.8816
2016-02-25 17:30:34 +0000,0,270,12,41.875792,-87.613939,17.8816
2016-02-25 17:30:35 +0000,0,270,12,41.875792,-87.613719,17.8816
2016-02-25 17:30:36 +0000,0,270,12,41.875792,-87.613499,17.8816
2016-02-25 17:30:37 +0000,0,270,12,41.875792,-87.613279,17.8816
2016-02-25 17:30:38 +0000,0,270,12,41.875792,-87.613059,17.8816
2016-02-25 17:30:39 +0000,0,270,12,41.875792,-87.612839,17.8816
2016-02-25 17:30:40 +0000,0,270,12,41.875792,-87.612619,17.8816
2016-02-25 17:30:41 +0000,0,270,12,41.875792,-87.612399,17.8816
2016-02-25 17:30:42 +0000,0,270,12,41.875792,-87.612179,17.8816
2016-02-25 17:30:43 +0000,0,270,12,41.875792,-87.611959,17.8816
2016-02-25 17:30:44 +0000,0,270,12,41.875792,-87.611739,17.8816
2016-02-25 17:30:45 +0000,0,270,12,41.875792,-87.611684,4.4704
2016-02-25 17:30:46 +0000,0,270,12,41.875792,-87.611629,4.4704
2016-02-25 17:30:47 +0000,0,270,12,41.875792,-87.611574,4.4704
2016-02-25 17:30:48 +0000,0,270,12,41.875792,-87.611519,4.4704
2016-02-25 17:30:49 +0000,0,270,12,41.875792,-87.611464,4.4704
2016-02-25 17:30:50 +0000,0,270,12,41.875792,-87.611409,4.4704
2016-02-25 17:30:51 +0000,0,270,12,41.875792,-87.611354,4.4704
2016-02-25 17:30:52 +0000,0,270,12,41.875792,-87.611299,4.4704
2016-02-25 17:30:53 +0000,0,270,12,41.875792,-87.611244,4.4704
2016-02-25 17:30:54 +0000,0,270,12,41.875792,-87.611189,4.4704
2016-02-25 17:30:55 +0000,0,270,12,41.875792,-87.611134,4.4704
2016-02-25 17:30:56 +0000,0,270,12,41.875792,-87.6110789999999,4.4704
2016-02-25 17:30:57 +0000,0,270,12,41.875792,-87.6110239999999,4.4704
2016-02-25 17:30:58 +0000,0,270,12,41.875792,-87.6109689999999,4.4704
2016-02-25 17:30:59 +0000,0,270,12,41.875792,-87.6109139999999,4.4704
2016-02-25 17:31:00 +0000,0,270,12,41.875792,-87.6108039999999,8.9408
2016-02-25 17:31:01 +0000,0,270,12,41.875792,-87.6106939999999,8.9408
2016-02-25 17:31:02 +0000,0,270,12,41.875792,-87.6105839999999,8.9408
2016-02-25 17:31:03 +0000,0,270,12,41.875792,-87.6104739999999,8.9408
2016-02-25 17:31:04 +0000,0,270,12,41.875792,-87.6103639999999,8.9408
2016-02-25 17:31:05 +0000,0,270,12,41.875792,-87.6102539999999,8.9408
2016-02-25 17:31:06 +0000,0,270,12,41.875792,-87.6101439999999,8.9408
2016-02-25 17:31:07 +0000,0,270,12,41.875792,-87.6100339999999,8.9408
2016-02-25 17:31:08 +0000,0,270,12,41.875792,-87.6099239999999,8.9408
2016-02-25 17:31:09 +0000,0,270,12,41.875792,-87.6098139999999,8.9408
2016-02-25 17:31:10 +0000,0,270,12,41.875792,-87.6097039999999,8.9408
2016-02-25 17:31:11 +0000,0,270,12,41.875792,-87.6095939999999,8.9408
2016-02-25 17:31:12 +0000,0,270,12,41.875792,-87.6094839999999,8.9408
2016-02-25 17:31:13 +0000,0,270,12,41.875792,-87.6093739999998,8.9408
2016-02-25 17:31:14 +0000,0,270,12,41.875792,-87.6092639999998,8.9408
2016-02-25 17:31:15 +0000,0,270,12,41.875792,-87.6090989999998,13.4112
2016-02-25 17:31:16 +0000,0,270,12,41.875792,-87.6089339999998,13.4112
